vol_id,funder_name,award_id,awardeeCity,awardeeName,awardeeStateCode,fundsObligatedAmt,piFirstName,piLastName,publicAccessMandate,date,title
1,National Science Foundation (NSF),1238599,New York,New York University,NY,2665719,Karen,Adolph,0,09/25/2012,Databrary:   An open video-based data-sharing system for developmental science
2,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
8,National Science Foundation (NSF),0721383,New York,New York University,NY,2500000,Catherine,Tamis-LeMonda,0,08/07/2007,"IRADS:  The Study of Culture, Social Settings, and Child Development across School Transitions"
11,National Science Foundation (NSF),1349044,Staten Island,CUNY College of Staten Island,NY,77355,Lana,Karasik,0,01/22/2014,"Effects Of Traditional Cradling Practices On Infants' Physical, Motor, And Social Development"
15,National Science Foundation (NSF),0808767,La Jolla,University of California-San Diego,CA,2650000,Javier,Movellan,0,08/26/2008,INT2-Large: Collaborative Research: Developing Social Robots
15,National Science Foundation (NSF),1052736,Coral Gables,University of Miami,FL,202002,Daniel,Messinger,0,06/14/2011,"Collaborative Research: Communication, Perturbation, and Early Development"
23,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
30,National Science Foundation (NSF),1247590,Newark,Rutgers University Newark,NJ,284473,Vanessa,LoBue,0,05/22/2013,Validation of the Child Affective Facial Expressions Set (CAFE)
31,National Science Foundation (NSF),0092452,University Park,Pennsylvania State Univ University Park,PA,397307,Rick,Gilmore,0,02/09/2001,CAREER: The Development of Heading Perception in Infancy
32,National Science Foundation (NSF),0092452,University Park,Pennsylvania State Univ University Park,PA,397307,Rick,Gilmore,0,02/09/2001,CAREER: The Development of Heading Perception in Infancy
45,National Science Foundation (NSF),1147543,New York,New York University,NY,337975,Marjorie,Rhodes,0,07/12/2012,The role of within-category variability in the development of induction
49,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
68,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
73,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
75,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
77,National Science Foundation (NSF),1248076,University Park,Pennsylvania State Univ University Park,PA,800000,Yanxi,Liu,0,09/09/2012,INSPIRE: Symmetry Group-based Regularity Perception in Human and Computer Vision
79,National Science Foundation (NSF),1331073,University Park,Pennsylvania State Univ University Park,PA,354257,Bradley,Wyble,0,07/27/2013,Integrating Spatial and Temporal Models of Visual Attention
81,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
109,National Science Foundation (NSF),1220305,Boston,Museum of Science,MA,2999827,Christine,Cunningham,0,09/06/2012,Exploring the Efficacy of Engineering is Elementary (E4)
116,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
207,National Science Foundation (NSF),1929935,Villanova,Villanova University,PA,482889,DEENA,WEISBERG,1,04/09/2019,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
207,National Science Foundation (NSF),1661068,Providence,Brown University,RI,817795,David,Sobel,1,05/01/2017,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
218,National Science Foundation (NSF),1147440,University Park,Pennsylvania State Univ University Park,PA,385000,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
253,National Science Foundation (NSF),1929935,Villanova,Villanova University,PA,482889,DEENA,WEISBERG,1,04/09/2019,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
