vol_id,funder_id,funder_name,award,award_id
1,100000001,National Science Foundation (NSF),BCS-1238599,1238599
2,100000001,National Science Foundation (NSF),BCS-1147440,1147440
8,100000001,National Science Foundation (NSF),0721383,0721383
11,100000001,National Science Foundation (NSF),BCS-1349044,1349044
15,100000001,National Science Foundation (NSF),INT-0808767,0808767
15,100000001,National Science Foundation (NSF),1052736,1052736
23,100000001,National Science Foundation (NSF),BCS-1147440,1147440
30,100000001,National Science Foundation (NSF),BCS-1247590,1247590
31,100000001,National Science Foundation (NSF),BCS-00-92452,0092452
32,100000001,National Science Foundation (NSF),BCS-00-92452,0092452
45,100000001,National Science Foundation (NSF),BCS-1147543,1147543
49,100000001,National Science Foundation (NSF),BCS-1147440,1147440
68,100000001,National Science Foundation (NSF),BCS-1147440,1147440
73,100000001,National Science Foundation (NSF),BCS-1147440,1147440
75,100000001,National Science Foundation (NSF),BCS-1147440,1147440
77,100000001,National Science Foundation (NSF),IIS-1248076,1248076
79,100000001,National Science Foundation (NSF),BCS-1331073,1331073
81,100000001,National Science Foundation (NSF),BCS-1147440,1147440
109,100000001,National Science Foundation (NSF),1220305,1220305
116,100000001,National Science Foundation (NSF),BCS-1147440,1147440
207,100000001,National Science Foundation (NSF),BCS-1929935,1929935
207,100000001,National Science Foundation (NSF),BCS-1661068,1661068
218,100000001,National Science Foundation (NSF),BCS-1147440,1147440
253,100000001,National Science Foundation (NSF),BCS-1929935,1929935
253,100000001,National Science Foundation (NSF),BCS-1661068,1661068
268,100000001,National Science Foundation (NSF),BCS-15233982,15233982
269,100000001,National Science Foundation (NSF),BCS-1929935,1929935
269,100000001,National Science Foundation (NSF),NSF BCS-166106,166106
272,100000001,National Science Foundation (NSF),DGE1255832,1255832
273,100000001,National Science Foundation (NSF),Bonawitz: NSF Choosing to Learn,NA
324,100000001,National Science Foundation (NSF),IIS-1248076,1248076
471,100000001,National Science Foundation (NSF),NSF/SBE-BSF-1627993,1627993
480,100000001,National Science Foundation (NSF),1561182,1561182
480,100000001,National Science Foundation (NSF),1561122,1561122
545,100000001,National Science Foundation (NSF),BCS-1056805,1056805
546,100000001,National Science Foundation (NSF),BCS-1056805,1056805
546,100000001,National Science Foundation (NSF),BCS-1560810,1560810
608,100000001,National Science Foundation (NSF),1560810,1560810
707,100000001,National Science Foundation (NSF),NSF BCS­1627993,1627993
950,100000001,National Science Foundation (NSF),BCS-1929935,1929935
950,100000001,National Science Foundation (NSF),BCS-1661068,1661068
987,100000001,National Science Foundation (NSF),1620294 (2016-2020),1620294
987,100000001,National Science Foundation (NSF),IBSS-L: Continuous Measurement of Children's Behavior and the Development of Social Dynamics,NA
1062,100000001,National Science Foundation (NSF),1462280,1462280
1062,100000001,National Science Foundation (NSF),1400802,1400802
1062,100000001,National Science Foundation (NSF),1400810,1400810
1116,100000001,National Science Foundation (NSF),1627993,1627993
1135,100000001,National Science Foundation (NSF),1302741,1302741
1187,100000001,National Science Foundation (NSF),BCS-1655300,1655300
1241,100000001,National Science Foundation (NSF),IRB-FY2017-722,2017722
1249,100000001,National Science Foundation (NSF),1462280,1462280
1279,100000001,National Science Foundation (NSF),1749376,1749376
1294,100000001,National Science Foundation (NSF),BCS 0951580,0951580
1398,100000001,National Science Foundation (NSF),2043717,2043717
1403,100000001,National Science Foundation (NSF),NSF #1761053 Collaborative Research: Math Cognition in Toddlers from Latine and White Families,1761053
1403,100000001,National Science Foundation (NSF),Robin Hood Foundation: Routine Language in Hispanic Families,NA
1437,100000001,National Science Foundation (NSF),[BCS-1056805,1056805
1437,100000001,National Science Foundation (NSF),BCS-1560810,1560810
1437,100000001,National Science Foundation (NSF),CS-1728133,1728133
1474,100000001,National Science Foundation (NSF),1052736,1052736
1495,100000001,National Science Foundation (NSF),NSF 1628300,1628300
1550,100000001,National Science Foundation (NSF),1444758,1444758
1550,100000001,National Science Foundation (NSF),1948790,1948790
1580,100000001,National Science Foundation (NSF),BCS #1941449,1941449
1589,100000001,National Science Foundation (NSF),2004983,2004983
